Year,Pk,Tm,Player,College,Yrs,G,MP...8,PTS...9,TRB...10,AST...11,FG%,3P%,FT%,MP...15,PTS...16,TRB...17,AST...18,WS,WS/48,BPM,VORP,Seasons,VPS,mean_vps,median_vps,repl325_vps,VOADP_mean,VOADP_med,VOADP_repl,exp_vps_pick,VODP,exp_vps_pick_med,VODP_med
2023,45,MEM,GG Jackson II,South Carolina,2,77,1692,908,288,88,0.413,0.352,0.746,22,11.8,3.7,1.1,1.3,0.037,-2.9,-0.4,2,-0.2,0.027272727272727264,-0.05,-0.17249999999999996,-0.22727272727272727,-0.15000000000000002,-0.027500000000000052,0.0867601439011829,-0.28676014390118293,-0.005670498702601412,-0.1943295012973986
2023,46,ATL,Seth Lundy,Penn State,1,9,52,14,7,0,0.235,0.231,0.75,5.8,1.6,0.8,0,-0.1,-0.092,-12.7,-0.1,2,-0.05,0.027272727272727264,-0.05,-0.17249999999999996,-0.07727272727272727,0,0.12249999999999996,0.0801517905432487,-0.1301517905432487,-0.005914636325244792,-0.04408536367475521
2023,47,LAL,Mojave King,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0.027272727272727264,-0.05,-0.17249999999999996,NA,NA,NA,0.07366471125883894,NA,-0.006254042923446818,NA
2023,48,LAC,Jordan Miller,Miami (FL),2,45,448,165,63,34,0.441,0.225,0.811,10,3.7,1.4,0.8,0.5,0.053,-2.8,-0.1,2,-0.05,0.027272727272727264,-0.05,-0.17249999999999996,-0.07727272727272727,0,0.12249999999999996,0.06739862603859997,-0.11739862603859998,-0.0066448963327298835,-0.04335510366727012
2023,49,CLE,Emoni Bates,Eastern Michigan,2,25,208,78,21,18,0.322,0.333,0.25,8.3,3.1,0.8,0.7,-0.2,-0.045,-6.4,-0.2,2,-0.1,0.027272727272727264,-0.05,-0.17249999999999996,-0.12727272727272726,-0.05,0.07249999999999995,0.0614532548731779,-0.1614532548731779,-0.007043374388616746,-0.09295662561138326
2023,50,OKC,Keyontae Johnson,Kansas State,1,9,66,11,10,4,0.313,0.333,NA,7.3,1.2,1.1,0.4,-0.1,-0.068,-9.8,-0.1,2,-0.05,0.027272727272727264,-0.05,-0.17249999999999996,-0.07727272727272727,0,0.12249999999999996,0.05592831775321897,-0.10592831775321898,-0.0074056549266299,-0.0425943450733701
2023,51,BRK,Jalen Wilson,Kansas,2,122,2695,963,401,190,0.403,0.335,0.82,22.1,7.9,3.3,1.6,3,0.053,-3.7,-1.1,2,-0.55,0.027272727272727264,-0.05,-0.17249999999999996,-0.5772727272727273,-0.5,-0.37750000000000006,0.050923534669369566,-0.6009235346693697,-0.007687915782291391,-0.5423120842177086
2023,52,PHO,Toumani Camara,Dayton,2,148,4287,1409,793,262,0.455,0.363,0.738,29,9.5,5.4,1.8,7.2,0.08,-1.3,0.7,2,0.35,0.027272727272727264,-0.05,-0.17249999999999996,0.3227272727272727,0.39999999999999997,0.5225,0.046537100178796434,0.30346289982120356,-0.007847695578618839,0.35784769557861884
2023,53,MIN,Jaylen Clark,UCLA,1,40,522,163,53,26,0.467,0.431,0.784,13.1,4.1,1.3,0.7,1.6,0.147,-0.2,0.2,2,0.1,0.027272727272727264,-0.05,-0.17249999999999996,0.07272727272727274,0.15000000000000002,0.27249999999999996,0.042802861045093045,0.05719713895490696,-0.007899935423878257,0.10789993542387827
2023,54,SAC,Jalen Slawson,Furman University,1,12,37,8,7,2,0.667,0,NA,3.1,0.7,0.6,0.2,0,0.058,-6.4,0,2,0,0.027272727272727264,-0.05,-0.17249999999999996,-0.027272727272727264,0.05,0.17249999999999996,0.03966803130856157,-0.03966803130856157,-0.007936858541924843,0.007936858541924843
2023,55,IND,Isaiah Wong,Miami (FL),2,21,269,122,32,28,0.389,0.382,0.735,12.8,5.8,1.5,1.3,0,0.006,-4.2,-0.1,2,-0.05,0.027272727272727264,-0.05,-0.17249999999999996,-0.07727272727272727,0,0.12249999999999996,0.03707371866967436,-0.08707371866967437,-0.00805613541537018,-0.04194386458462982
2023,56,MEM,Tarik Biberovic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0.027272727272727264,-0.05,-0.17249999999999996,NA,NA,NA,0.03496103082890471,NA,-0.00835543652682557,NA
2023,57,GSW,Trayce Jackson-Davis,Indiana,2,130,2097,947,652,186,0.642,0,0.568,16.1,7.3,5,1.4,8.2,0.187,2,2.1,2,1.05,0.027272727272727264,-0.05,-0.17249999999999996,1.0227272727272727,1.1,1.2225,0.03327107548672529,1.0167289245132747,-0.008932432358902023,1.058932432358902
2023,58,MIL,Chris Livingston,Kentucky,2,42,196,56,56,10,0.408,0.077,0.75,4.7,1.3,1.3,0.2,0.1,0.031,-7,-0.2,2,-0.1,0.027272727272727264,-0.05,-0.17249999999999996,-0.12727272727272726,-0.05,0.07249999999999995,0.03194496034360893,-0.13194496034360892,-0.009884793394211227,-0.09011520660578878
2023,59,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0.027272727272727264,-0.05,-0.17249999999999996,NA,NA,NA,0.030923793100028102,NA,-0.011310190115364539,NA
2023,60,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0.027272727272727264,-0.05,-0.17249999999999996,NA,NA,NA,0.03014868145645635,NA,-0.01330629300497307,NA
2022,1,ORL,Paolo Banchero,Duke,3,198,6811,4432,1396,919,0.445,0.32,0.73,34.4,22.4,7.1,4.6,11.1,0.079,0.8,4.9,3,1.6333333333333335,0.12756410256410258,-0.016666666666666666,-0.13333333333333333,1.505769230769231,1.6500000000000001,1.7666666666666668,1.143113859646673,0.4902194736866605,0.8822822001815358,0.7510511331517977
2022,2,OKC,Chet Holmgren,Gonzaga,2,114,3290,1836,905,263,0.519,0.372,0.78,28.9,16.1,7.9,2.3,12.1,0.176,3.1,4.3,3,1.4333333333333333,0.12756410256410258,-0.016666666666666666,-0.13333333333333333,1.3057692307692308,1.45,1.5666666666666667,1.0604108854384655,0.37292244789486784,0.7833289534233416,0.6500043799099917
2022,3,HOU,Jabari Smith Jr.,Auburn,3,212,6591,2752,1584,282,0.432,0.34,0.805,31.1,13,7.5,1.3,11.7,0.085,-1.7,0.5,3,0.16666666666666666,0.12756410256410258,-0.016666666666666666,-0.13333333333333333,0.039102564102564075,0.18333333333333332,0.3,0.9801108851729452,-0.8134442185062786,0.6884843713470001,-0.5218177046803335
2022,4,SAC,Keegan Murray,Iowa,3,233,7580,3090,1298,336,0.451,0.372,0.812,32.5,13.3,5.6,1.4,13.9,0.088,-1.1,1.8,3,0.6,0.12756410256410258,-0.016666666666666666,-0.13333333333333333,0.4724358974358974,0.6166666666666667,0.7333333333333333,0.9026722960389979,-0.3026722960389979,0.5984087442197418,0.001591255780258205
2022,5,DET,Jaden Ivey,Purdue,3,181,5419,2917,676,802,0.429,0.352,0.746,29.9,16.1,3.7,4.4,1.6,0.014,-2.7,-0.9,3,-0.3,0.12756410256410258,-0.016666666666666666,-0.13333333333333333,-0.4275641025641026,-0.2833333333333333,-0.16666666666666666,0.8285535552255102,-1.1285535552255102,0.5137623623087962,-0.8137623623087962
2022,6,IND,Bennedict Mathurin,Arizona,3,209,5909,3314,935,371,0.446,0.342,0.828,28.3,15.9,4.5,1.8,6.2,0.051,-3.3,-2,3,-0.6666666666666666,0.12756410256410258,-0.016666666666666666,-0.13333333333333333,-0.7942307692307692,-0.6499999999999999,-0.5333333333333333,0.758213099921368,-1.4248797665880346,0.4352055158813938,-1.1018721825480604
2022,7,POR,Shaedon Sharpe,Kentucky,3,184,5090,2634,720,386,0.449,0.33,0.779,27.7,14.3,3.9,2.1,4.7,0.044,-2.3,-0.4,3,-0.13333333333333333,0.12756410256410258,-0.016666666666666666,-0.13333333333333333,-0.2608974358974359,-0.11666666666666667,0,0.6921093673154572,-0.8254427006487906,0.36339849520476425,-0.4967318285380976
2022,8,NOP,Dyson Daniels,NA,3,196,4971,1654,873,631,0.472,0.327,0.614,25.4,8.4,4.5,3.2,9.2,0.089,0.5,3.2,3,1.0666666666666667,0.12756410256410258,-0.016666666666666666,-0.13333333333333333,0.9391025641025641,1.0833333333333333,1.2,0.6307007945966637,0.4359658720700029,0.29900159054613756,0.767665076120529
2022,9,SAS,Jeremy Sochan,Baylor,3,184,5015,2092,1123,519,0.468,0.29,0.725,27.3,11.4,6.1,2.8,4.2,0.041,-3,-1.2,3,-0.39999999999999997,0.12756410256410258,-0.016666666666666666,-0.13333333333333333,-0.5275641025641026,-0.3833333333333333,-0.2666666666666666,0.5744458189538743,-0.9744458189538743,0.24267509217274402,-0.642675092172744
